playerID,yearID,Age,teamID,lgID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB
barneja01,2017,27,MIL,NL,68,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
barnema01,2017,27,BOS,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barneto01,2017,33,TEX,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barnhtu01,2017,26,CIN,NL,121,423,370,26,100,24,2,7,44,4,0,42,68,0.27,0.347,0.403,0.75,96,149,12,3,5,3,11
barraky01,2017,27,MIA,NL,62,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
barrefr02,2017,21,OAK,AL,25,76,71,10,14,1,2,2,6,2,0,5,33,0.197,0.25,0.352,0.602,62,25,1,0,0,0,0
barreja01,2017,25,ARI,NL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bastaan01,2017,31,PIT,NL,8,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
bauertr01,2017,26,CLE,AL,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
baumabu01,2017,29,SDP,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bautijo02,2017,36,TOR,AL,157,686,587,92,119,27,0,23,65,6,3,84,170,0.203,0.308,0.366,0.674,76,215,16,8,0,7,3
bautira01,2017,24,WSN,NL,17,27,25,2,4,0,0,0,0,0,0,2,5,0.16,0.222,0.16,0.382,2,4,1,0,0,0,0
